42.01,-72
42.02,-72
42.03,-72
42.04,-72
42.05,-72
42.06,-72
42.07,-72
42.08,-72
42.09,-72
42.1,-72
42.11,-72
42.12,-72
42.13,-72
42.14,-72
42.15,-72
42.16,-72
42.17,-72
42.18,-72
42.19,-72
42.2,-72
42.21,-72
42.22,-72
42.23,-72
42.24,-72
42.25,-72
42.26,-72
42.27,-72
42.28,-72
42.29,-72
42.3,-72
42.31,-72
42.32,-72
42.33,-72
42.34,-72
42.35,-72
42.36,-72
42.37,-72
42.38,-72
42.39,-72
42.4,-72
42.41,-72
42.42,-72
42.43,-72
42.44,-72
42.45,-72
42.46,-72
42.47,-72
42.48,-72
42.49,-72
42.5,-72
42.51,-72
42.52,-72
42.53,-72
42.54,-72
42.55,-72
42.56,-72
42.57,-72
42.58,-72
42.59,-72
42.6,-72
42.61,-72
42.62,-72
42.63,-72
42.64,-72
42.65,-72
42.66,-72
42.67,-72
42.68,-72
42.69,-72
42.7,-72
42.71,-72
42.72,-72
42.73,-72
42.74,-72
42.75,-72
42.76,-72
42.77,-72
42.78,-72
42.79,-72
42.8,-72
42.81,-72
42.82,-72
42.83,-72
42.84,-72
42.85,-72
42.86,-72
42.87,-72
42.88,-72
42.89,-72
42.9,-72
42.91,-72
42.92,-72
42.93,-72
42.94,-72
42.95,-72
42.96,-72
42.97,-72
42.98,-72
42.99,-72
